alert_id,alert_timestamp,source_system,alert_type,severity,assigned_analyst,asset_id,status,time_to_triage_minutes,false_positive
ALT-105471,2026-04-25 23:20:00,SIEM,Brute Force Attempt,Medium,Analyst_11,AST-00592,Closed,263.3,False
ALT-105286,2026-04-25 23:32:00,SIEM,Anomalous Login Pattern,Low,Analyst_10,AST-00786,Closed,380.9,False
ALT-111369,2026-04-26 00:35:00,SIEM,Lateral Movement Indicator,Medium,Analyst_06,AST-00171,Closed,525.5,False
ALT-109199,2026-04-26 01:05:00,EDR,Credential Dumping Indicator,Medium,Analyst_14,AST-00426,Closed,248.0,True
ALT-104947,2026-04-26 02:08:00,Firewall,Blocked Known-Bad IP,Low,Analyst_14,AST-00567,Closed,1501.4,True
ALT-106543,2026-04-26 02:32:00,EDR,Ransomware Behavior Pattern,Medium,Analyst_09,AST-00267,Closed,848.4,True
ALT-109470,2026-04-26 02:52:00,EDR,Suspicious Process Execution,Medium,Analyst_04,AST-00046,Closed,257.6,False
ALT-102018,2026-04-26 03:27:00,Cloud Access Security (CASB),Unsanctioned App Access,Medium,Analyst_01,AST-00287,Closed,530.8,False
ALT-108872,2026-04-26 03:33:00,Cloud Access Security (CASB),Anomalous Data Download Volume,Low,Analyst_08,AST-00269,Closed,278.1,False
ALT-108423,2026-04-26 05:00:00,SIEM,Anomalous Login Pattern,Low,Analyst_08,AST-00640,Closed,1110.7,False
ALT-104399,2026-04-26 05:07:00,SIEM,Anomalous Login Pattern,Medium,Analyst_07,AST-00287,Closed,497.9,True
ALT-110889,2026-04-26 05:10:00,Firewall,Unusual Outbound Data Volume,Medium,Analyst_02,AST-00739,Closed,527.1,False
ALT-102135,2026-04-26 06:02:00,Email Gateway,Spoofed Sender Domain,Medium,Analyst_10,AST-00514,Closed,638.3,False
ALT-107559,2026-04-26 06:38:00,EDR,Unsigned Binary Execution,Low,Analyst_08,AST-00277,Closed,2705.4,False
ALT-103872,2026-04-26 06:41:00,EDR,Ransomware Behavior Pattern,Low,Analyst_10,AST-00247,Closed,1944.7,False
ALT-103069,2026-04-26 07:12:00,SIEM,Brute Force Attempt,Low,Analyst_13,AST-00728,Closed,3485.3,True
ALT-108825,2026-04-26 07:13:00,Email Gateway,Malicious Attachment,High,Analyst_01,AST-00682,Closed,44.3,False
ALT-104101,2026-04-26 08:05:00,EDR,Credential Dumping Indicator,Low,Analyst_14,AST-00380,Closed,2189.8,False
ALT-105325,2026-04-26 08:08:00,Firewall,Port Scan Detected,High,Analyst_08,AST-00533,Closed,398.3,False
ALT-109986,2026-04-26 08:15:00,Email Gateway,Phishing Attempt,High,Analyst_04,AST-00641,Closed,110.4,False
ALT-106780,2026-04-26 08:30:00,SIEM,Brute Force Attempt,High,Analyst_01,AST-00402,Closed,83.4,False
ALT-105793,2026-04-26 08:43:00,SIEM,Lateral Movement Indicator,Medium,Analyst_09,AST-00222,Closed,2203.9,False
ALT-101721,2026-04-26 08:46:00,Firewall,Blocked Known-Bad IP,Low,Analyst_02,AST-00024,Closed,851.9,False
ALT-108921,2026-04-26 08:48:00,EDR,Ransomware Behavior Pattern,High,Analyst_13,AST-00797,Closed,303.3,False
ALT-100353,2026-04-26 08:48:00,Firewall,Port Scan Detected,High,Analyst_12,AST-00141,Closed,109.5,False
ALT-111112,2026-04-26 08:59:00,Firewall,Port Scan Detected,Medium,Analyst_13,AST-00338,Closed,200.9,False
ALT-102435,2026-04-26 09:11:00,EDR,Credential Dumping Indicator,Medium,Analyst_14,AST-00577,Closed,217.8,True
ALT-101096,2026-04-26 09:16:00,EDR,Ransomware Behavior Pattern,High,Analyst_08,AST-00400,Closed,267.2,False
ALT-107618,2026-04-26 09:18:00,EDR,Credential Dumping Indicator,Low,Analyst_12,AST-00053,Closed,1490.4,False
ALT-102472,2026-04-26 09:34:00,Email Gateway,Phishing Attempt,Low,Analyst_06,AST-00597,Closed,1639.5,False
ALT-108231,2026-04-26 09:56:00,SIEM,Lateral Movement Indicator,High,Analyst_05,AST-00667,Closed,97.5,False
ALT-111069,2026-04-26 09:58:00,EDR,Credential Dumping Indicator,Medium,Analyst_03,AST-00718,Closed,174.6,False
ALT-103880,2026-04-26 09:59:00,SIEM,Privilege Escalation Attempt,Low,Analyst_01,AST-00054,Closed,310.1,False
ALT-107241,2026-04-26 10:05:00,Email Gateway,Spoofed Sender Domain,Medium,Analyst_12,AST-00184,Closed,251.1,False
ALT-109568,2026-04-26 10:06:00,SIEM,Lateral Movement Indicator,Medium,Analyst_04,AST-00603,Closed,510.9,False
ALT-111097,2026-04-26 10:07:00,EDR,Ransomware Behavior Pattern,High,Analyst_09,AST-00207,Closed,61.2,False
ALT-107975,2026-04-26 10:22:00,Email Gateway,Phishing Attempt,Medium,Analyst_08,AST-00196,Closed,185.3,True
ALT-108786,2026-04-26 10:23:00,IDS/IPS,Malware Signature Match,Low,Analyst_05,AST-00758,Closed,1258.3,True
ALT-102675,2026-04-26 10:46:00,SIEM,Brute Force Attempt,Medium,Analyst_13,AST-00264,Closed,1913.9,True
ALT-102592,2026-04-26 11:07:00,Firewall,Unusual Outbound Data Volume,Low,Analyst_10,AST-00649,Closed,2879.1,True
ALT-108155,2026-04-26 11:35:00,Email Gateway,Malicious Attachment,Low,Analyst_06,AST-00556,Closed,2316.0,True
ALT-100430,2026-04-26 11:38:00,Cloud Access Security (CASB),Anomalous Data Download Volume,Low,Analyst_10,AST-00553,Closed,1365.2,False
ALT-110148,2026-04-26 11:45:00,Email Gateway,Malicious Attachment,High,Analyst_14,AST-00503,Closed,125.3,False
ALT-100256,2026-04-26 11:45:00,EDR,Credential Dumping Indicator,Medium,Analyst_12,AST-00667,In Progress,576.4,False
ALT-108782,2026-04-26 11:55:00,Firewall,Port Scan Detected,Medium,Analyst_03,AST-00505,Closed,331.0,True
ALT-103719,2026-04-26 11:55:00,Firewall,Unusual Outbound Data Volume,Medium,Analyst_10,AST-00542,Closed,644.3,False
ALT-103717,2026-04-26 12:01:00,IDS/IPS,Protocol Anomaly,Low,Analyst_13,AST-00795,Closed,642.2,True
ALT-107832,2026-04-26 12:06:00,EDR,Suspicious Process Execution,Low,Analyst_03,AST-00255,Closed,1465.9,False
ALT-110547,2026-04-26 12:06:00,Cloud Access Security (CASB),Anomalous Data Download Volume,High,Analyst_10,AST-00051,Closed,101.8,True
ALT-108844,2026-04-26 12:11:00,Firewall,Unusual Outbound Data Volume,Medium,Analyst_10,AST-00667,Closed,303.1,False
ALT-106977,2026-04-26 12:20:00,Cloud Access Security (CASB),Impossible Travel Login,Medium,Analyst_14,AST-00730,Closed,127.8,False
ALT-106360,2026-04-26 12:20:00,EDR,Credential Dumping Indicator,High,Analyst_08,AST-00342,Closed,129.4,False
ALT-108562,2026-04-26 12:30:00,EDR,Suspicious Process Execution,Medium,Analyst_04,AST-00623,Closed,387.1,True
ALT-101533,2026-04-26 12:36:00,SIEM,Brute Force Attempt,High,Analyst_03,AST-00012,Closed,888.7,False
ALT-110680,2026-04-26 12:42:00,SIEM,Brute Force Attempt,Medium,Analyst_10,AST-00383,Closed,1249.6,False
ALT-106160,2026-04-26 12:44:00,SIEM,Lateral Movement Indicator,Medium,Analyst_02,AST-00713,Closed,750.0,False
ALT-101900,2026-04-26 12:58:00,Firewall,Port Scan Detected,Low,Analyst_10,AST-00499,Closed,1257.5,False
ALT-109636,2026-04-26 12:58:00,EDR,Unsigned Binary Execution,Medium,Analyst_09,AST-00126,Closed,130.6,False
ALT-107717,2026-04-26 12:59:00,Firewall,Blocked Outbound C2 Traffic,Medium,Analyst_08,AST-00346,Closed,623.9,False
ALT-100405,2026-04-26 13:26:00,EDR,Ransomware Behavior Pattern,Medium,Analyst_02,AST-00015,Closed,845.4,True
ALT-105001,2026-04-26 13:26:00,SIEM,Privilege Escalation Attempt,Medium,Analyst_07,AST-00018,Closed,721.3,True
ALT-111425,2026-04-26 13:40:00,EDR,Ransomware Behavior Pattern,High,Analyst_04,AST-00211,Closed,332.6,False
ALT-109175,2026-04-26 13:44:00,IDS/IPS,Protocol Anomaly,Medium,Analyst_10,AST-00542,Closed,880.8,False
ALT-103146,2026-04-26 13:45:00,Firewall,Blocked Known-Bad IP,Low,Analyst_10,AST-00469,Closed,1163.6,False
ALT-102461,2026-04-26 13:46:00,EDR,Suspicious Process Execution,Medium,Analyst_14,AST-00501,Closed,465.2,True
ALT-103562,2026-04-26 13:54:00,SIEM,Brute Force Attempt,Medium,Analyst_09,AST-00553,Closed,722.7,False
ALT-105666,2026-04-26 14:23:00,SIEM,Anomalous Login Pattern,High,Analyst_12,AST-00319,Closed,12.7,False
ALT-100700,2026-04-26 14:37:00,SIEM,Anomalous Login Pattern,Medium,Analyst_14,AST-00448,Closed,812.7,True
ALT-100192,2026-04-26 14:49:00,SIEM,Brute Force Attempt,Low,Analyst_05,AST-00421,Closed,1281.1,False
ALT-104999,2026-04-26 15:00:00,SIEM,Privilege Escalation Attempt,Critical,Analyst_09,AST-00787,Closed,13.2,False
ALT-107722,2026-04-26 15:03:00,EDR,Suspicious Process Execution,Medium,Analyst_11,AST-00253,Closed,597.5,False
ALT-108812,2026-04-26 15:03:00,Email Gateway,Business Email Compromise Indicator,Medium,Analyst_14,AST-00314,Closed,124.7,False
ALT-109097,2026-04-26 15:09:00,SIEM,Brute Force Attempt,Medium,Analyst_10,AST-00379,Closed,1208.5,False
ALT-104703,2026-04-26 15:09:00,SIEM,Anomalous Login Pattern,Medium,Analyst_13,AST-00035,Closed,496.2,False
ALT-100373,2026-04-26 15:09:00,SIEM,Anomalous Login Pattern,Medium,Analyst_12,AST-00583,Closed,683.9,False
ALT-101800,2026-04-26 15:12:00,SIEM,Anomalous Login Pattern,Low,Analyst_02,AST-00687,Closed,937.4,True
ALT-103462,2026-04-26 15:13:00,SIEM,Lateral Movement Indicator,Low,Analyst_07,AST-00632,Closed,1806.3,True
ALT-110052,2026-04-26 15:19:00,Email Gateway,Phishing Attempt,Low,Analyst_03,AST-00228,Closed,922.5,False
ALT-110806,2026-04-26 15:34:00,Firewall,Port Scan Detected,Medium,Analyst_13,AST-00407,Closed,175.0,False
ALT-108001,2026-04-26 15:35:00,SIEM,Brute Force Attempt,Low,Analyst_07,AST-00327,Closed,600.7,True
ALT-110129,2026-04-26 15:45:00,EDR,Unsigned Binary Execution,Medium,Analyst_03,AST-00454,Closed,7190.7,False
ALT-101581,2026-04-26 15:57:00,Email Gateway,Business Email Compromise Indicator,Critical,Analyst_05,AST-00361,Closed,76.1,False
ALT-110576,2026-04-26 15:58:00,Firewall,Blocked Known-Bad IP,Medium,Analyst_14,AST-00230,Closed,127.0,False
ALT-101324,2026-04-26 15:59:00,SIEM,Brute Force Attempt,High,Analyst_12,AST-00713,Closed,84.3,False
ALT-107554,2026-04-26 16:22:00,SIEM,Anomalous Login Pattern,Medium,Analyst_01,AST-00564,Closed,353.4,True
ALT-104365,2026-04-26 16:26:00,Email Gateway,Malicious Attachment,Low,Analyst_11,AST-00570,Closed,1440.6,True
ALT-105042,2026-04-26 16:27:00,EDR,Suspicious Process Execution,Low,Analyst_11,AST-00431,Closed,2078.9,True
ALT-104922,2026-04-26 16:35:00,IDS/IPS,Malware Signature Match,Medium,Analyst_13,AST-00639,Closed,289.8,False
ALT-104715,2026-04-26 16:40:00,Firewall,Blocked Outbound C2 Traffic,Medium,Analyst_01,AST-00177,Closed,393.8,False
ALT-104088,2026-04-26 16:41:00,Email Gateway,Spoofed Sender Domain,Critical,Analyst_01,AST-00024,Closed,17.3,False
ALT-110325,2026-04-26 16:53:00,SIEM,Lateral Movement Indicator,High,Analyst_12,AST-00481,Closed,39.5,False
ALT-100382,2026-04-26 17:03:00,EDR,Credential Dumping Indicator,Medium,Analyst_10,AST-00200,Closed,196.8,True
ALT-107752,2026-04-26 17:10:00,Email Gateway,Spoofed Sender Domain,Low,Analyst_04,AST-00574,Closed,1165.9,True
ALT-110741,2026-04-26 17:10:00,Firewall,Blocked Outbound C2 Traffic,Medium,Analyst_03,AST-00258,Closed,818.2,False
ALT-106201,2026-04-26 17:16:00,Email Gateway,Business Email Compromise Indicator,Medium,Analyst_11,AST-00185,Closed,257.5,False
ALT-111241,2026-04-26 17:20:00,Firewall,Blocked Known-Bad IP,Medium,Analyst_06,AST-00567,Closed,233.3,False
ALT-106760,2026-04-26 17:22:00,EDR,Ransomware Behavior Pattern,Medium,Analyst_12,AST-00512,Closed,814.1,True
ALT-105806,2026-04-26 17:24:00,EDR,Unsigned Binary Execution,Low,Analyst_03,AST-00503,Closed,986.6,False
ALT-111664,2026-04-26 17:33:00,SIEM,Lateral Movement Indicator,High,Analyst_08,AST-00614,Closed,94.1,False
ALT-107765,2026-04-26 17:38:00,SIEM,Privilege Escalation Attempt,Medium,Analyst_03,AST-00730,Closed,1420.3,False
ALT-111962,2026-04-26 17:49:00,SIEM,Privilege Escalation Attempt,Medium,Analyst_06,AST-00762,Closed,291.9,True
ALT-109691,2026-04-26 17:50:00,Firewall,Unusual Outbound Data Volume,Low,Analyst_10,AST-00542,Closed,304.1,True
ALT-101724,2026-04-26 17:54:00,EDR,Unsigned Binary Execution,High,Analyst_10,AST-00335,Closed,883.5,False
ALT-100740,2026-04-26 17:54:00,Email Gateway,Spoofed Sender Domain,Medium,Analyst_14,AST-00735,Closed,415.7,False
ALT-100997,2026-04-26 18:00:00,EDR,Suspicious Process Execution,Medium,Analyst_06,AST-00564,Closed,123.3,False
ALT-105703,2026-04-26 18:07:00,Firewall,Blocked Known-Bad IP,Medium,Analyst_03,AST-00504,Closed,857.5,False
ALT-108808,2026-04-26 18:07:00,Email Gateway,Phishing Attempt,Medium,Analyst_08,AST-00565,Closed,649.4,False
ALT-103256,2026-04-26 18:09:00,SIEM,Brute Force Attempt,Medium,Analyst_12,AST-00707,Closed,119.3,False
ALT-108027,2026-04-26 18:18:00,SIEM,Brute Force Attempt,Medium,Analyst_11,AST-00445,Closed,205.6,True
ALT-109877,2026-04-26 18:42:00,Firewall,Blocked Known-Bad IP,Low,Analyst_10,AST-00395,Closed,843.1,False
ALT-108136,2026-04-26 18:55:00,SIEM,Lateral Movement Indicator,Medium,Analyst_04,AST-00685,Closed,217.4,True
ALT-106079,2026-04-26 19:49:00,Email Gateway,Malicious Attachment,High,Analyst_02,AST-00545,Closed,173.1,False
ALT-102294,2026-04-26 20:07:00,IDS/IPS,Protocol Anomaly,High,Analyst_09,AST-00398,Closed,24.3,False
ALT-111485,2026-04-26 20:08:00,SIEM,Lateral Movement Indicator,Medium,Analyst_07,AST-00537,Closed,278.7,True
ALT-101818,2026-04-26 20:55:00,SIEM,Brute Force Attempt,Medium,Analyst_09,AST-00769,Closed,1046.7,False
ALT-105787,2026-04-26 22:51:00,EDR,Ransomware Behavior Pattern,Medium,Analyst_09,AST-00134,Closed,338.5,False
ALT-108710,2026-04-26 23:31:00,EDR,Ransomware Behavior Pattern,Medium,Analyst_11,AST-00507,Closed,2643.7,False
ALT-109245,2026-04-26 23:37:00,Email Gateway,Business Email Compromise Indicator,Medium,Analyst_05,AST-00299,Closed,485.5,False
ALT-104754,2026-04-26 23:42:00,SIEM,Anomalous Login Pattern,Low,Analyst_14,AST-00264,Closed,3707.3,False
ALT-101129,2026-04-27 00:08:00,Cloud Access Security (CASB),Unsanctioned App Access,Medium,Analyst_03,AST-00414,Closed,522.3,False
ALT-108122,2026-04-27 01:02:00,SIEM,Brute Force Attempt,Low,Analyst_04,AST-00370,Open,1193.5,False
ALT-109609,2026-04-27 02:46:00,SIEM,Lateral Movement Indicator,High,Analyst_01,AST-00111,Closed,65.9,False
ALT-109608,2026-04-27 02:51:00,EDR,Unsigned Binary Execution,Medium,Analyst_03,AST-00608,Closed,504.7,False
ALT-111723,2026-04-27 03:11:00,Email Gateway,Business Email Compromise Indicator,Medium,Analyst_05,AST-00334,Closed,111.3,False
ALT-105694,2026-04-27 03:20:00,SIEM,Privilege Escalation Attempt,Low,Analyst_01,AST-00632,Closed,1927.4,False
ALT-100813,2026-04-27 03:30:00,EDR,Suspicious Process Execution,High,Analyst_02,AST-00151,Closed,227.9,False
ALT-107365,2026-04-27 03:36:00,Cloud Access Security (CASB),Impossible Travel Login,Medium,Analyst_01,AST-00601,In Progress,949.6,False
ALT-109718,2026-04-27 04:01:00,SIEM,Privilege Escalation Attempt,Medium,Analyst_10,AST-00112,Closed,144.4,False
ALT-107708,2026-04-27 04:06:00,Cloud Access Security (CASB),Anomalous Data Download Volume,High,Analyst_07,AST-00780,Closed,14.6,False
ALT-104655,2026-04-27 05:09:00,SIEM,Anomalous Login Pattern,High,Analyst_14,AST-00041,Closed,93.4,False
ALT-101732,2026-04-27 05:43:00,SIEM,Brute Force Attempt,Medium,Analyst_07,AST-00547,Closed,189.7,False
ALT-110290,2026-04-27 06:09:00,EDR,Unsigned Binary Execution,Low,Analyst_05,AST-00018,Closed,1136.9,True
ALT-109203,2026-04-27 06:49:00,SIEM,Lateral Movement Indicator,Medium,Analyst_07,AST-00294,Closed,305.4,False
ALT-102700,2026-04-27 07:06:00,EDR,Suspicious Process Execution,Low,Analyst_04,AST-00424,Closed,512.9,False
ALT-110652,2026-04-27 08:00:00,Firewall,Blocked Known-Bad IP,Medium,Analyst_11,AST-00405,Closed,957.2,False
ALT-111506,2026-04-27 08:01:00,EDR,Suspicious Process Execution,Low,Analyst_13,AST-00495,Closed,2672.7,False
ALT-103307,2026-04-27 08:08:00,Email Gateway,Business Email Compromise Indicator,High,Analyst_12,AST-00262,Closed,126.9,False
ALT-108207,2026-04-27 08:09:00,SIEM,Privilege Escalation Attempt,Low,Analyst_10,AST-00748,Closed,207.8,True
ALT-102279,2026-04-27 08:33:00,EDR,Suspicious Process Execution,Low,Analyst_02,AST-00222,Closed,1693.4,True
ALT-103175,2026-04-27 08:44:00,SIEM,Brute Force Attempt,High,Analyst_02,AST-00371,Closed,161.0,False
ALT-104981,2026-04-27 08:53:00,Email Gateway,Malicious Attachment,Critical,Analyst_06,AST-00238,Closed,34.5,False
ALT-108790,2026-04-27 09:00:00,SIEM,Privilege Escalation Attempt,High,Analyst_13,AST-00418,Closed,208.9,False
ALT-110589,2026-04-27 09:02:00,EDR,Credential Dumping Indicator,Medium,Analyst_03,AST-00128,Closed,524.6,False
ALT-104244,2026-04-27 09:16:00,Email Gateway,Malicious Attachment,Medium,Analyst_14,AST-00712,Closed,123.9,True
ALT-104536,2026-04-27 09:27:00,EDR,Unsigned Binary Execution,High,Analyst_11,AST-00036,Closed,120.6,False
ALT-111732,2026-04-27 09:33:00,Firewall,Port Scan Detected,Medium,Analyst_14,AST-00492,Closed,385.7,True
ALT-103547,2026-04-27 09:34:00,SIEM,Lateral Movement Indicator,Low,Analyst_09,AST-00076,Closed,788.7,False
ALT-105649,2026-04-27 09:37:00,EDR,Suspicious Process Execution,Medium,Analyst_13,AST-00082,Closed,831.5,False
ALT-103886,2026-04-27 09:40:00,SIEM,Lateral Movement Indicator,Medium,Analyst_10,AST-00721,Closed,292.4,False
ALT-106923,2026-04-27 09:49:00,SIEM,Privilege Escalation Attempt,High,Analyst_02,AST-00635,Closed,325.8,False
ALT-101864,2026-04-27 10:00:00,EDR,Suspicious Process Execution,Medium,Analyst_10,AST-00769,Closed,56.9,False
ALT-104516,2026-04-27 10:11:00,EDR,Suspicious Process Execution,High,Analyst_12,AST-00610,Closed,96.1,False
ALT-103970,2026-04-27 10:24:00,Cloud Access Security (CASB),Unsanctioned App Access,Medium,Analyst_05,AST-00644,Closed,433.4,False
ALT-106411,2026-04-27 10:25:00,Firewall,Blocked Outbound C2 Traffic,Medium,Analyst_03,AST-00644,Closed,6498.4,True
ALT-110102,2026-04-27 10:33:00,Cloud Access Security (CASB),Impossible Travel Login,Medium,Analyst_11,AST-00149,Closed,839.4,False
ALT-102961,2026-04-27 10:53:00,SIEM,Brute Force Attempt,Low,Analyst_07,AST-00678,Closed,299.3,False
ALT-111022,2026-04-27 11:00:00,Firewall,Unusual Outbound Data Volume,High,Analyst_07,AST-00254,Closed,280.6,False
ALT-106822,2026-04-27 11:04:00,EDR,Suspicious Process Execution,Medium,Analyst_10,AST-00034,Closed,364.8,False
ALT-106668,2026-04-27 11:08:00,Firewall,Port Scan Detected,Medium,Analyst_01,AST-00378,Closed,1735.5,False
ALT-104653,2026-04-27 11:14:00,Cloud Access Security (CASB),Anomalous Data Download Volume,Low,Analyst_02,AST-00559,Closed,1157.8,False
ALT-110039,2026-04-27 11:19:00,Email Gateway,Phishing Attempt,Medium,Analyst_11,AST-00501,Closed,393.3,False
ALT-111697,2026-04-27 11:28:00,Email Gateway,Phishing Attempt,Medium,Analyst_08,AST-00086,Closed,241.5,False
ALT-109367,2026-04-27 11:36:00,SIEM,Anomalous Login Pattern,Medium,Analyst_14,AST-00089,Closed,441.1,False
ALT-105742,2026-04-27 11:42:00,Firewall,Blocked Outbound C2 Traffic,Medium,Analyst_11,AST-00336,Closed,740.9,True
ALT-101703,2026-04-27 11:42:00,EDR,Ransomware Behavior Pattern,Medium,Analyst_05,AST-00720,Closed,435.8,False
ALT-105279,2026-04-27 11:45:00,Firewall,Unusual Outbound Data Volume,Medium,Analyst_11,AST-00130,Closed,201.1,False
ALT-104583,2026-04-27 11:45:00,IDS/IPS,Exploit Attempt Signature Match,Medium,Analyst_10,AST-00429,Closed,400.9,False
ALT-108158,2026-04-27 11:49:00,Email Gateway,Business Email Compromise Indicator,Low,Analyst_14,AST-00303,Closed,832.4,False
ALT-107408,2026-04-27 11:50:00,EDR,Unsigned Binary Execution,Low,Analyst_07,AST-00538,Closed,694.5,False
ALT-108561,2026-04-27 11:52:00,Cloud Access Security (CASB),Impossible Travel Login,Low,Analyst_11,AST-00439,Closed,242.2,True
ALT-110081,2026-04-27 11:57:00,SIEM,Lateral Movement Indicator,Medium,Analyst_09,AST-00725,Closed,122.1,False
ALT-110816,2026-04-27 12:04:00,Firewall,Unusual Outbound Data Volume,Medium,Analyst_09,AST-00109,Closed,152.1,False
ALT-107289,2026-04-27 12:11:00,SIEM,Anomalous Login Pattern,Medium,Analyst_04,AST-00448,Closed,665.0,False
ALT-100628,2026-04-27 12:29:00,EDR,Unsigned Binary Execution,High,Analyst_03,AST-00569,Closed,26.5,False
ALT-109379,2026-04-27 12:33:00,Firewall,Blocked Known-Bad IP,Medium,Analyst_05,AST-00795,Closed,401.7,False
ALT-108020,2026-04-27 12:42:00,SIEM,Privilege Escalation Attempt,Low,Analyst_06,AST-00438,Closed,411.4,True
ALT-101966,2026-04-27 12:46:00,SIEM,Brute Force Attempt,Medium,Analyst_09,AST-00091,Closed,765.4,False
ALT-100626,2026-04-27 12:51:00,SIEM,Brute Force Attempt,Medium,Analyst_13,AST-00093,Closed,769.7,False
ALT-101917,2026-04-27 12:52:00,Email Gateway,Business Email Compromise Indicator,Medium,Analyst_09,AST-00550,Closed,430.5,True
ALT-107254,2026-04-27 12:55:00,Email Gateway,Business Email Compromise Indicator,Critical,Analyst_09,AST-00496,Closed,99.7,False
ALT-100484,2026-04-27 12:59:00,Email Gateway,Phishing Attempt,Low,Analyst_01,AST-00276,Closed,2135.2,False
ALT-107709,2026-04-27 13:07:00,Firewall,Unusual Outbound Data Volume,Medium,Analyst_14,AST-00643,Closed,305.4,True
ALT-102227,2026-04-27 13:12:00,IDS/IPS,Malware Signature Match,Medium,Analyst_10,AST-00604,Closed,1030.1,False
ALT-108747,2026-04-27 13:17:00,SIEM,Lateral Movement Indicator,Medium,Analyst_08,AST-00207,Closed,680.6,True
ALT-110756,2026-04-27 13:18:00,Email Gateway,Business Email Compromise Indicator,Medium,Analyst_06,AST-00760,In Progress,56.0,True
ALT-110671,2026-04-27 13:18:00,SIEM,Privilege Escalation Attempt,High,Analyst_07,AST-00133,Closed,695.3,False
ALT-105254,2026-04-27 13:23:00,EDR,Credential Dumping Indicator,Medium,Analyst_04,AST-00740,Closed,564.1,True
ALT-110237,2026-04-27 13:30:00,SIEM,Lateral Movement Indicator,Medium,Analyst_11,AST-00732,Closed,264.6,False
ALT-108828,2026-04-27 13:33:00,EDR,Suspicious Process Execution,Low,Analyst_10,AST-00459,Closed,2624.4,True
ALT-106853,2026-04-27 13:35:00,SIEM,Lateral Movement Indicator,High,Analyst_07,AST-00536,Closed,1064.1,False
ALT-111114,2026-04-27 13:38:00,Email Gateway,Business Email Compromise Indicator,Critical,Analyst_12,AST-00171,Closed,30.5,False
ALT-108037,2026-04-27 13:50:00,EDR,Credential Dumping Indicator,High,Analyst_07,AST-00641,Closed,180.1,False
ALT-102324,2026-04-27 13:52:00,EDR,Suspicious Process Execution,Low,Analyst_11,AST-00778,Closed,1410.2,True
ALT-106297,2026-04-27 13:55:00,SIEM,Brute Force Attempt,Critical,Analyst_08,AST-00361,Closed,18.5,False
ALT-101772,2026-04-27 13:55:00,SIEM,Anomalous Login Pattern,High,Analyst_12,AST-00649,Closed,45.2,False
ALT-105682,2026-04-27 14:00:00,Cloud Access Security (CASB),Anomalous Data Download Volume,Medium,Analyst_08,AST-00684,Closed,138.1,False
ALT-106309,2026-04-27 14:04:00,Cloud Access Security (CASB),Anomalous Data Download Volume,Medium,Analyst_07,AST-00510,Closed,420.7,False
ALT-110950,2026-04-27 14:11:00,EDR,Ransomware Behavior Pattern,Low,Analyst_02,AST-00435,Closed,856.4,False
ALT-109092,2026-04-27 14:16:00,Email Gateway,Phishing Attempt,Low,Analyst_10,AST-00100,Closed,1724.8,True
ALT-106052,2026-04-27 14:20:00,SIEM,Anomalous Login Pattern,Medium,Analyst_06,AST-00622,Closed,1358.0,True
ALT-104335,2026-04-27 14:23:00,IDS/IPS,Exploit Attempt Signature Match,High,Analyst_03,AST-00707,Closed,81.6,False
ALT-100116,2026-04-27 14:25:00,Firewall,Blocked Known-Bad IP,High,Analyst_05,AST-00205,In Progress,125.1,False
ALT-101159,2026-04-27 14:52:00,Firewall,Blocked Outbound C2 Traffic,High,Analyst_14,AST-00174,Closed,28.6,False
ALT-106806,2026-04-27 14:58:00,SIEM,Anomalous Login Pattern,Medium,Analyst_13,AST-00291,Closed,450.3,False
ALT-102042,2026-04-27 15:01:00,EDR,Credential Dumping Indicator,Low,Analyst_13,AST-00371,Closed,725.8,False
ALT-102570,2026-04-27 15:01:00,Email Gateway,Business Email Compromise Indicator,Medium,Analyst_10,AST-00263,Closed,1316.8,False
ALT-108346,2026-04-27 15:03:00,Firewall,Blocked Outbound C2 Traffic,Medium,Analyst_13,AST-00114,Closed,288.6,False
ALT-102160,2026-04-27 15:04:00,Firewall,Blocked Known-Bad IP,High,Analyst_09,AST-00390,Closed,48.8,False
ALT-111049,2026-04-27 15:12:00,Firewall,Port Scan Detected,Low,Analyst_03,AST-00607,Closed,1365.5,False
ALT-105068,2026-04-27 15:13:00,EDR,Suspicious Process Execution,Medium,Analyst_07,AST-00504,Closed,250.8,False
ALT-100503,2026-04-27 15:15:00,SIEM,Lateral Movement Indicator,Medium,Analyst_09,AST-00659,Closed,241.6,False
ALT-102443,2026-04-27 15:22:00,Firewall,Unusual Outbound Data Volume,Medium,Analyst_01,AST-00097,Closed,264.1,False
ALT-102232,2026-04-27 15:29:00,SIEM,Privilege Escalation Attempt,Critical,Analyst_14,AST-00337,Closed,40.8,False
ALT-104041,2026-04-27 15:36:00,SIEM,Privilege Escalation Attempt,Low,Analyst_03,AST-00597,Closed,441.0,False
ALT-103896,2026-04-27 15:37:00,EDR,Credential Dumping Indicator,Medium,Analyst_06,AST-00527,Closed,1273.9,True
ALT-109419,2026-04-27 15:41:00,EDR,Suspicious Process Execution,Low,Analyst_11,AST-00389,Closed,395.0,True
ALT-103626,2026-04-27 15:42:00,Firewall,Blocked Outbound C2 Traffic,High,Analyst_14,AST-00138,Closed,53.0,False
